2026-05-11T13:47:05 | INFO     | ABMonitor | Logger initialised — output: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\logs\ab_monitor.log
2026-05-11T13:47:05 | INFO     | ABMonitor | AB Power Meter Monitor starting up.
2026-05-11T13:47:05 | INFO     | ABMonitor | Configuration: {
  "ip_base": "10.16.130",
  "octet_start": 50,
  "octet_end": 53,
  "sample_period": 30,
  "enable_gui": 1,
  "enable_fits": 1,
  "enable_csv": 1,
  "enable_xlsx": 1,
  "enable_log_append": 1,
  "log_dir": "c:\\users\\wwallace\\onedrive - national radio astronomy observatory\\documents\\github\\gbo_maser_control\\ab_meter_output\\logs"
}
2026-05-11T14:32:54 | DEBUG    | ABMonitor | Parsed table 'Voltage_Current_Table' — 24 rows
2026-05-11T14:32:54 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.51_Voltage_Current_Table
2026-05-11T14:32:54 | DEBUG    | ABMonitor | Fetched http://10.16.130.51/3 — 2096 bytes
2026-05-11T14:32:54 | DEBUG    | ABMonitor | Parsed table 'Real_Time_Power_Table' — 26 rows
2026-05-11T14:32:54 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.51_Real_Time_Power_Table
2026-05-11T14:32:55 | DEBUG    | ABMonitor | Fetched http://10.16.130.51/4 — 923 bytes
2026-05-11T14:32:55 | DEBUG    | ABMonitor | Parsed table 'Cumulative_Power_Table' — 8 rows
2026-05-11T14:32:55 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.51_Cumulative_Power_Table
2026-05-11T14:32:55 | DEBUG    | ABMonitor | Fetched http://10.16.130.51/5 — 1738 bytes
2026-05-11T14:32:55 | DEBUG    | ABMonitor | Parsed table 'Demand_Data_Table' — 18 rows
2026-05-11T14:32:55 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.51_Demand_Data_Table
2026-05-11T14:32:55 | DEBUG    | ABMonitor | Fetched http://10.16.130.51/6 — 2157 bytes
2026-05-11T14:32:55 | DEBUG    | ABMonitor | Parsed table 'Diagnostic_Table' — 31 rows
2026-05-11T14:32:55 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.51_Diagnostic_Table
2026-05-11T14:32:55 | DEBUG    | ABMonitor | Fetched http://10.16.130.51/7 — 2129 bytes
2026-05-11T14:32:55 | DEBUG    | ABMonitor | Parsed table 'Voltage_Current_Snapshot_Log_Table' — 27 rows
2026-05-11T14:32:55 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.51_Voltage_Current_Snapshot_Log_Table
2026-05-11T14:32:55 | DEBUG    | ABMonitor | Fetched http://10.16.130.51/8 — 2316 bytes
2026-05-11T14:32:55 | DEBUG    | ABMonitor | Parsed table 'Power_Snapshot_Log_Table' — 30 rows
2026-05-11T14:32:55 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.51_Power_Snapshot_Log_Table
2026-05-11T14:32:56 | DEBUG    | ABMonitor | Fetched http://10.16.130.51/9 — 1159 bytes
2026-05-11T14:32:56 | DEBUG    | ABMonitor | Parsed table 'MinMax_Log_Table' — 12 rows
2026-05-11T14:32:56 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.51_MinMax_Log_Table
2026-05-11T14:32:56 | DEBUG    | ABMonitor | Fetched http://10.16.130.51/10 — 2157 bytes
2026-05-11T14:32:56 | DEBUG    | ABMonitor | Parsed table 'Diagnostic_Table_Extended' — 31 rows
2026-05-11T14:32:56 | DEBUG    | ABMonitor | Stored dict key: 10.16.130.51_Diagnostic_Table_Extended
2026-05-11T14:32:56 | INFO     | ABMonitor | Named dicts updated from 2 device(s).
2026-05-11T14:32:56 | INFO     | ABMonitor | FITS written: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\fits\ABMeter_10_16_130_50_20260511T183256.fits
2026-05-11T14:32:56 | INFO     | ABMonitor | FITS written: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\fits\ABMeter_10_16_130_51_20260511T183256.fits
2026-05-11T14:32:56 | DEBUG    | ABMonitor | CSV appended: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\csv\ABMeter_10_16_130_50_Device_Configuration_Table.csv
2026-05-11T14:32:56 | DEBUG    | ABMonitor | CSV appended: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\csv\ABMeter_10_16_130_50_Communications_Configuration_Table.csv
2026-05-11T14:32:56 | DEBUG    | ABMonitor | CSV appended: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\csv\ABMeter_10_16_130_50_Voltage_Current_Table.csv
2026-05-11T14:32:56 | DEBUG    | ABMonitor | CSV appended: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\csv\ABMeter_10_16_130_50_Real_Time_Power_Table.csv
2026-05-11T14:32:56 | DEBUG    | ABMonitor | CSV appended: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\csv\ABMeter_10_16_130_50_Cumulative_Power_Table.csv
2026-05-11T14:32:56 | DEBUG    | ABMonitor | CSV appended: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\csv\ABMeter_10_16_130_50_Demand_Data_Table.csv
2026-05-11T14:32:56 | DEBUG    | ABMonitor | CSV appended: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\csv\ABMeter_10_16_130_50_Diagnostic_Table.csv
2026-05-11T14:32:56 | DEBUG    | ABMonitor | CSV appended: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\csv\ABMeter_10_16_130_50_Voltage_Current_Snapshot_Log_Table.csv
2026-05-11T14:32:56 | DEBUG    | ABMonitor | CSV appended: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\csv\ABMeter_10_16_130_50_Power_Snapshot_Log_Table.csv
2026-05-11T14:32:56 | DEBUG    | ABMonitor | CSV appended: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\csv\ABMeter_10_16_130_50_MinMax_Log_Table.csv
2026-05-11T14:32:56 | DEBUG    | ABMonitor | CSV appended: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\csv\ABMeter_10_16_130_50_Diagnostic_Table_Extended.csv
2026-05-11T14:32:56 | DEBUG    | ABMonitor | CSV appended: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\csv\ABMeter_10_16_130_51_Device_Configuration_Table.csv
2026-05-11T14:32:56 | DEBUG    | ABMonitor | CSV appended: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\csv\ABMeter_10_16_130_51_Communications_Configuration_Table.csv
2026-05-11T14:32:56 | DEBUG    | ABMonitor | CSV appended: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\csv\ABMeter_10_16_130_51_Voltage_Current_Table.csv
2026-05-11T14:32:56 | DEBUG    | ABMonitor | CSV appended: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\csv\ABMeter_10_16_130_51_Real_Time_Power_Table.csv
2026-05-11T14:32:56 | DEBUG    | ABMonitor | CSV appended: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\csv\ABMeter_10_16_130_51_Cumulative_Power_Table.csv
2026-05-11T14:32:56 | DEBUG    | ABMonitor | CSV appended: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\csv\ABMeter_10_16_130_51_Demand_Data_Table.csv
2026-05-11T14:32:56 | DEBUG    | ABMonitor | CSV appended: c:\users\wwallace\onedrive - national radio astronomy observatory\documents\github\gbo_maser_control\ab_meter_output\csv\ABMeter_10_16_130_51_Diagnostic_Table.csv
