Timestamp_Local,IP,Index,Parameter_Name,Value,Unit,Demand Current,Demand Power,Demand Apparent Power,Projected #1 Demand Current,Projected #1 Demand Power,Projected #1 Demand Reactive Power,Projected #1 Demand Apparent Power,Projected #2 Demand Current,Projected #2 Demand Power,Projected #2 Demand Reactive Power,Projected #2 Demand Apparent Power,Projected #3 Demand Current,Projected #3 Demand Power,Projected #3 Demand Reactive Power,Projected #3 Demand Apparent Power,Elapsed Time
(units),,,,,,A,W,VA,A,W,VAR,VA,A,W,VAR,VA,A,W,VAR,VA,s
2026-05-11T18:32:21Z,10.16.130.50,9,Projected #1 Demand Apparent Power,151355.421875,VA,,,,,,,,,,,,,,,,
2026-05-11T18:32:21Z,10.16.130.50,10,Projected #2 Demand Current,363320.40625,A,,,,,,,,,,,,,,,,
2026-05-11T18:32:21Z,10.16.130.50,11,Projected #2 Demand Power,51.373409,W,,,,,,,,,,,,,,,,
2026-05-11T18:32:21Z,10.16.130.50,12,Projected #2 Demand Reactive Power,345298.78125,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:32:21Z,10.16.130.50,13,Projected #2 Demand Apparent Power,164739.984375,VA,,,,,,,,,,,,,,,,
2026-05-11T18:32:21Z,10.16.130.50,14,Projected #3 Demand Current,383660.375,A,,,,,,,,,,,,,,,,
2026-05-11T18:32:21Z,10.16.130.50,15,Projected #3 Demand Power,90.546371,W,,,,,,,,,,,,,,,,
2026-05-11T18:32:21Z,10.16.130.50,16,Projected #3 Demand Reactive Power,577794.875,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:32:21Z,10.16.130.50,17,Projected #3 Demand Apparent Power,337345.5,VA,,,,,,,,,,,,,,,,
2026-05-11T18:32:21Z,10.16.130.50,18,Elapsed Time,668479.6875,s,,,,,,,,,,,,,,,,
2026-05-11T18:32:56Z,10.16.130.50,1,Date,12/5/2012,,,,,,,,,,,,,,,,,
2026-05-11T18:32:56Z,10.16.130.50,2,Time,21:10:26,,,,,,,,,,,,,,,,,
2026-05-11T18:32:56Z,10.16.130.50,3,Demand Current,49.191601,A,,,,,,,,,,,,,,,,
2026-05-11T18:32:56Z,10.16.130.50,4,Demand Power,331229.53125,W,,,,,,,,,,,,,,,,
2026-05-11T18:32:56Z,10.16.130.50,5,Demand Apparent Power,157337.421875,VA,,,,,,,,,,,,,,,,
2026-05-11T18:32:56Z,10.16.130.50,6,Projected #1 Demand Current,367524.78125,A,,,,,,,,,,,,,,,,
2026-05-11T18:32:56Z,10.16.130.50,7,Projected #1 Demand Power,49.269207,W,,,,,,,,,,,,,,,,
2026-05-11T18:32:56Z,10.16.130.50,8,Projected #1 Demand Reactive Power,332118.59375,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:32:56Z,10.16.130.50,9,Projected #1 Demand Apparent Power,156202.328125,VA,,,,,,,,,,,,,,,,
2026-05-11T18:32:56Z,10.16.130.50,10,Projected #2 Demand Current,368150.125,A,,,,,,,,,,,,,,,,
